,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
0,1,1,1,13.3,1,1,8,1,1,1,1.37,1339.69
1,1,2,1,13.3,2,2,8,2,2,1,1.34,898.94
2,2,3,2,15.6,3,3,8,3,3,2,1.86,575.0
3,1,1,1,15.4,4,4,16,4,4,1,1.83,2537.45
4,1,1,1,13.3,1,5,8,3,5,1,1.37,1803.6
5,3,4,2,15.6,5,6,4,5,6,3,2.1,400.0
6,1,1,1,15.4,4,7,16,6,7,4,2.04,2139.97
7,1,2,1,13.3,2,2,8,6,2,1,1.34,1158.7
8,4,5,1,14.0,3,8,16,4,8,3,1.3,1495.0
9,3,6,1,14.0,6,9,8,3,9,3,1.6,770.0
10,2,3,2,15.6,5,3,4,5,3,2,1.86,393.9
11,2,3,2,15.6,3,10,4,5,10,2,1.86,344.99
12,1,1,1,15.4,4,11,16,3,11,1,1.83,2439.97
13,5,7,2,15.6,3,10,4,3,12,3,2.2,498.9
14,1,8,1,12.0,7,12,8,3,13,1,0.92,1262.4
15,1,1,1,13.3,1,1,8,3,1,1,1.37,1518.55
16,5,7,2,15.6,3,13,8,3,12,3,2.2,745.0
17,1,1,1,15.4,4,14,16,4,14,1,1.83,2858.0
18,6,9,2,15.6,3,15,8,7,15,2,2.2,499.0
19,5,10,1,13.3,8,9,8,1,9,3,1.22,979.0
20,4,11,3,11.6,5,16,2,8,16,3,0.98,191.9
21,6,12,4,15.6,6,17,8,9,17,3,2.5,999.0
22,2,13,2,15.6,5,18,4,5,18,2,1.86,258.0
23,5,14,5,13.3,9,9,8,3,9,3,1.62,819.0
24,2,15,1,15.6,3,8,8,3,3,3,1.91,659.0
25,5,7,2,15.6,5,10,4,7,10,3,2.3,418.64
26,1,16,1,13.3,2,19,8,2,2,4,1.35,1099.0
27,5,17,2,15.6,3,9,8,3,19,3,2.2,800.0
28,5,18,1,15.6,3,20,8,10,9,3,1.88,1298.0
29,2,19,2,17.3,3,9,8,7,20,3,2.5,896.0
30,7,20,2,15.6,3,21,4,11,21,3,1.89,244.99
31,4,21,2,14.0,5,22,2,8,18,3,1.65,199.0
32,2,22,2,17.3,3,23,4,5,19,3,2.71,439.0
33,5,10,1,13.3,10,8,16,4,9,3,1.2,1869.0
34,1,16,1,13.3,2,19,8,6,2,4,1.35,998.0
35,6,23,2,14.0,5,24,4,11,22,3,1.44,249.0
36,3,4,2,15.6,5,25,4,7,3,5,2.1,367.0
37,5,24,2,17.3,6,9,8,9,19,3,2.8,979.0
38,2,3,2,15.6,5,3,4,7,3,3,1.86,488.69
39,2,25,2,15.6,3,9,8,3,23,3,2.1,879.0
40,4,26,2,15.6,3,10,4,7,3,5,2.0,389.0
41,5,27,4,15.6,6,26,16,12,24,3,2.65,1499.0
42,4,28,2,15.6,5,3,8,7,15,5,2.3,522.99
43,3,29,2,15.6,6,9,4,3,9,3,2.2,682.0
44,5,30,5,17.3,9,9,12,7,25,3,2.77,999.0
45,1,1,1,13.3,1,27,8,3,26,1,1.37,1419.0
46,6,31,2,15.6,5,10,4,1,10,2,2.2,369.0
47,4,32,4,17.3,3,28,8,12,27,3,3.2,1299.0
48,5,7,2,15.6,3,3,4,3,12,3,2.3,639.0
49,4,33,2,17.3,5,29,4,7,28,3,2.8,466.0
50,6,34,5,10.1,11,30,4,11,16,6,0.69,319.0
51,3,29,2,15.6,6,8,8,3,8,3,2.2,841.0
52,2,13,2,15.6,3,23,4,3,29,3,1.86,398.49
53,2,35,2,13.3,3,8,8,4,9,3,1.49,1103.0
54,3,4,2,15.6,5,15,4,7,3,3,2.4,384.0
55,5,36,2,15.6,3,8,8,3,30,3,2.13,767.8
56,2,37,2,15.6,3,10,4,1,10,3,1.91,439.0
57,4,38,2,15.6,5,3,4,3,3,3,2.0,586.19
58,8,39,4,17.3,3,26,16,13,31,3,2.43,2449.0
59,4,40,2,15.6,3,10,4,3,10,5,2.0,415.0
60,5,24,2,17.3,3,8,16,13,19,3,2.8,1299.0
61,5,41,1,14.0,3,9,8,3,9,3,1.7,879.0
62,6,42,2,14.0,6,25,8,3,3,2,1.7,599.0
63,4,43,2,14.0,3,9,8,3,9,3,1.4,941.0
64,2,3,2,15.6,3,3,8,3,3,3,1.86,690.0
65,4,44,1,15.6,3,26,16,4,32,3,1.8,1983.0
66,2,3,2,15.6,5,10,4,5,30,3,1.86,438.69
67,2,45,2,14.0,5,31,4,14,16,3,1.44,229.0
68,6,46,2,15.6,3,3,4,7,3,3,1.9,549.0
69,4,47,4,17.3,3,26,12,7,32,5,3.0,949.0
70,9,48,1,13.5,12,3,4,1,3,7,1.252,1089.0
71,5,49,1,13.3,6,8,8,3,19,3,1.4,955.0
72,5,17,2,15.6,3,8,8,3,19,3,2.2,870.0
73,8,50,4,17.3,3,17,8,9,17,3,2.7,1095.0
74,3,51,2,14.0,5,10,8,7,10,3,2.1,389.0
75,4,52,4,15.6,3,26,8,7,17,3,2.2,949.0
76,6,53,2,15.6,3,3,8,15,3,2,2.2,519.0
77,5,17,2,15.6,3,8,8,9,9,3,2.02,855.0
78,3,54,2,15.6,3,25,4,7,33,3,2.2,530.0
79,2,19,2,17.3,3,9,8,9,20,3,2.5,977.0
80,5,18,1,15.6,6,9,8,3,9,3,1.88,1096.16
81,1,8,1,12.0,7,32,8,4,13,1,0.92,1510.0
82,2,55,2,14.0,3,9,8,3,3,3,1.63,860.0
83,6,56,2,15.6,3,23,4,1,34,3,2.2,399.0
84,3,4,2,15.6,5,6,4,7,6,3,2.1,395.0
